Weight,Record,Type,Gender
55,135,S,Men
55,166,CJ,Men
55,294,T,Men
61,145,S,Men
61,174,CJ,Men
61,318,T,Men
67,155,S,Men
67,188,CJ,Men
67,339,T,Men
73,169,S,Men
73,198,CJ,Men
73,364,T,Men
81,175,S,Men
81,207,CJ,Men
81,378,T,Men
89,179,S,Men
89,216,CJ,Men
89,387,T,Men
96,186,S,Men
96,231,CJ,Men
96,416,T,Men
102,191,S,Men
102,231,CJ,Men
102,412,T,Men
109,200,S,Men
109,241,CJ,Men
109,435,T,Men
177,223,S,Men
177,265,CJ,Men
177,488,T,Men
