N,Time,Speed
1,0:06:31,18.426575216
2,0:06:08,19.538670285
2,0:06:33,18.308498195
2,0:06:00,20.015567664
4,0:05:38,21.310602025
4,0:05:59,20.057945175
4,0:05:32,21.684787519
8,0:05:19,22.593196937
1,0:06:41,17.953769045
2,0:06:23,18.803374161
2,0:06:05,19.708209017
4,0:05:43,20.981466371
4,0:05:43,21.006564551
8,0:05:30,21.802325581
